nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Canadá,38250000,9984670,América
México,126700000,1964375,América
Colombia,51260000,1141748,América
Estados Unidos,331893745,9833517,América
Perú,33726000,1285216,América
Chile,19490000,756102,América
Ecuador,17800000,256370,América
Venezuela,28200000,912050,América
Bolivia,12080000,1098581,América
Uruguay,3426000,176215,América
Paraguay,6704000,406752,América
Cuba,11260000,109884,América
Guatemala,17110000,108889,América
Honduras,10280000,112492,América
República Dominicana,11120000,48671,América
Costa Rica,5154000,51100,América
Panamá,4351000,75420,América
Puerto Rico,3264000,9104,América
El Salvador,6314000,21041,América
Jamaica,2828000,10991,América
Nicaragua,6851000,130375,América
Haití,11440000,27750,América
Bahamas,407906,13878,América
Barbados,281200,430,América
Santa Lucía,179651,616,América
Granada,124610,344,América
San Vicente y las Granadinas,104332,389,América
Antigua y Barbuda,93219,442,América
San Cristóbal y Nieves,47606,261,América
Dominica,72412,751,América
Trinidad y Tobago,1526000,5128,América
Guyana,804567,214970,América
Surinam,612985,163820,América
Belice,400031,22966,América
Alemania,83149300,357022,Europa
España,47420000,505990,Europa
Francia,67500000,551695,Europa
Italia,59110000,301340,Europa
Rusia,143400000,17098242,Europa
Reino Unido,67330000,242495,Europa
Países Bajos,17530000,41543,Europa
Bélgica,11590000,30528,Europa
Suiza,8698000,41285,Europa
Austria,8922000,83879,Europa
Suecia,10420000,450295,Europa
Noruega,5408000,323802,Europa
Dinamarca,5857000,43094,Europa
Finlandia,5541000,338424,Europa
Polonia,37750000,312696,Europa
Portugal,10330000,92212,Europa
Grecia,10640000,131957,Europa
Irlanda,5033000,70273,Europa
República Checa,10510000,78866,Europa
Hungría,9710000,93030,Europa
Rumanía,19120000,238397,Europa
Ucrania,38000000,603500,Europa
Croacia,3899000,56594,Europa
Eslovaquia,5447000,49035,Europa
Bulgaria,6878000,110994,Europa
Serbia,6834000,88361,Europa
Lituania,2801000,65300,Europa
Letonia,1884000,64589,Europa
Estonia,1331000,45227,Europa
Eslovenia,2108000,20273,Europa
Chipre,1244000,9251,Europa
Luxemburgo,640064,2586,Europa
Malta,518536,316,Europa
Islandia,372520,103000,Europa
